"","Meldedatum","gemeldete Fallzahl des Tages","Laufender Tagesdurchschnitt der vergangenen 7 Tage"
"694","2020-07-05",144,384.714285714286
"695","2020-07-04",294,392.857142857143
"696","2020-07-03",427,397.285714285714
"697","2020-07-02",472,418.285714285714
"698","2020-07-01",483,432.428571428571
"699","2020-06-30",458,435.714285714286
"700","2020-06-29",415,447.571428571429
"701","2020-06-28",201,451.714285714286
"702","2020-06-27",325,454.714285714286
"703","2020-06-26",574,489.571428571429
"704","2020-06-25",571,549
"705","2020-06-24",506,576.428571428571
"706","2020-06-23",541,627.571428571429
"707","2020-06-22",444,624.428571428571
"708","2020-06-21",222,598
"709","2020-06-20",569,590.857142857143
"710","2020-06-19",990,552.285714285714
"711","2020-06-18",763,461.285714285714
"712","2020-06-17",864,392.428571428571
"713","2020-06-16",519,343
"714","2020-06-15",259,329.714285714286
"715","2020-06-14",172,335
"716","2020-06-13",299,333.857142857143
"717","2020-06-12",353,331.857142857143
"718","2020-06-11",281,343.857142857143
"719","2020-06-10",518,379.142857142857
"720","2020-06-09",426,376
"721","2020-06-08",296,358.857142857143
"722","2020-06-07",164,336
"723","2020-06-06",285,338
"724","2020-06-05",437,350.571428571429
"725","2020-06-04",528,351.714285714286
"726","2020-06-03",496,351.857142857143
"727","2020-06-02",306,374.142857142857
"728","2020-06-01",136,418.571428571429
"729","2020-05-31",178,457.857142857143
"730","2020-05-30",373,463.714285714286
"731","2020-05-29",445,458.571428571429
"732","2020-05-28",529,470.142857142857
"733","2020-05-27",652,454.428571428571
"734","2020-05-26",617,480
"735","2020-05-25",411,495.857142857143
"736","2020-05-24",219,514.714285714286
"737","2020-05-23",337,528.571428571429
"738","2020-05-22",526,546.428571428571
"739","2020-05-21",419,575.285714285714
"740","2020-05-20",831,630.857142857143
"741","2020-05-19",728,642.285714285714
"742","2020-05-18",543,660.285714285714
"743","2020-05-17",316,680.428571428571
"744","2020-05-16",462,684
"745","2020-05-15",728,714.714285714286
"746","2020-05-14",808,750.428571428571
"747","2020-05-13",911,806.857142857143
"748","2020-05-12",854,851.142857142857
"749","2020-05-11",684,885
"750","2020-05-10",341,891.428571428571
"751","2020-05-09",677,903.428571428571
"752","2020-05-08",978,895.285714285714
"753","2020-05-07",1203,886.714285714286
"754","2020-05-06",1221,923.571428571429
"755","2020-05-05",1091,953.571428571429
"756","2020-05-04",729,1006.85714285714
"757","2020-05-03",425,1062.57142857143
"758","2020-05-02",620,1102.42857142857
"759","2020-05-01",918,1195.42857142857
"760","2020-04-30",1461,1336.28571428571
"761","2020-04-29",1431,1426.42857142857
"762","2020-04-28",1464,1577.28571428571
"763","2020-04-27",1119,1680.28571428571
"764","2020-04-26",704,1765
"765","2020-04-25",1271,1861.14285714286
"766","2020-04-24",1904,1980.71428571429
"767","2020-04-23",2092,2143.85714285714
"768","2020-04-22",2487,2333.42857142857
"769","2020-04-21",2185,2453.28571428571
"770","2020-04-20",1712,2493.42857142857
"771","2020-04-19",1377,2477.14285714286
"772","2020-04-18",2108,2547.14285714286
"773","2020-04-17",3046,2657.85714285714
"774","2020-04-16",3419,2702
"775","2020-04-15",3326,2914.85714285714
"776","2020-04-14",2466,3193.42857142857
"777","2020-04-13",1598,3582.28571428571
"778","2020-04-12",1867,3876.85714285714
"779","2020-04-11",2883,3972.28571428571
"780","2020-04-10",3355,4180.71428571429
"781","2020-04-09",4909,4585.71428571429
"782","2020-04-08",5276,4820.28571428571
"783","2020-04-07",5188,4960.85714285714
"784","2020-04-06",3660,5085.42857142857
"785","2020-04-05",2535,5151.14285714286
"786","2020-04-04",4342,5228.71428571429
"787","2020-04-03",6190,5282.71428571429
"788","2020-04-02",6551,5252.71428571429
"789","2020-04-01",6260,5160.14285714286
"790","2020-03-31",6060,5077.42857142857
"791","2020-03-30",4120,4908.85714285714
"792","2020-03-29",3078,4853.28571428571
"793","2020-03-28",4720,4737.14285714286
"794","2020-03-27",5980,4542.42857142857
"795","2020-03-26",5903,4267.57142857143
"796","2020-03-25",5681,4004.42857142857
"797","2020-03-24",4880,3707.28571428571
"798","2020-03-23",3731,3443.42857142857
"799","2020-03-22",2265,3201.42857142857
"800","2020-03-21",3357,3017.85714285714
"801","2020-03-20",4056,2724.42857142857
"802","2020-03-19",4061,2354.14285714286
"803","2020-03-18",3601,1915.57142857143
"804","2020-03-17",3033,1509.28571428571
"805","2020-03-16",2037,1161
"806","2020-03-15",980,919.571428571429
"807","2020-03-14",1303,794.571428571429
"808","2020-03-13",1464,628.714285714286
"809","2020-03-12",991,446.285714285714
"810","2020-03-11",757,331.285714285714
"811","2020-03-10",595,245.571428571429
"812","2020-03-09",347,172.571428571429
"813","2020-03-08",105,129.142857142857
"814","2020-03-07",142,119.142857142857
"815","2020-03-06",187,102.142857142857
"816","2020-03-05",186,82
"817","2020-03-04",157,58.8571428571429
"818","2020-03-03",84,37.5714285714286
"819","2020-03-02",43,26
"820","2020-03-01",35,20
"821","2020-02-29",23,15.2857142857143
"822","2020-02-28",46,12.1428571428571
"823","2020-02-27",24,5.85714285714286
"824","2020-02-26",8,2.57142857142857
"825","2020-02-25",3,1.57142857142857
"826","2020-02-24",1,1.42857142857143
"827","2020-02-20",2,1.42857142857143
"828","2020-02-18",1,1.28571428571429
"829","2020-02-17",2,1.28571428571429
"830","2020-02-15",1,1.28571428571429
"831","2020-02-12",1,1.71428571428571
"832","2020-02-11",2,1.71428571428571
"833","2020-02-10",1,1.57142857142857
"834","2020-02-07",1,2.14285714285714
"835","2020-02-06",1,2.28571428571429
"836","2020-02-05",2,2.42857142857143
"837","2020-02-04",4,2.28571428571429
"838","2020-02-03",1,1.85714285714286
"839","2020-02-01",1,1.85714285714286
"840","2020-01-31",5,NA
"841","2020-01-29",2,NA
"842","2020-01-28",2,NA
"843","2020-01-23",1,NA
"844","2020-01-20",1,NA
"845","2020-01-02",1,NA
